               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069903,            0.027539,            0.035395,             0.33414,             0.39424,             0.29739,             0.16331,            0.046351,            0.016326,             0.01922,             0.07004,           0.0033289,           0.0033289
                   1,            0.051799,            0.022817,            0.017029,             0.47731,             0.48278,             0.39773,             0.22795,            0.040458,            0.015052,            0.011889,             0.03971,           0.0063324,           0.0063324
                   2,            0.048289,            0.022952,            0.014417,             0.37206,             0.35532,             0.28327,             0.16821,             0.04437,            0.017657,            0.016651,           0.0090505,            0.009006,            0.009006
                   3,            0.047616,            0.024794,            0.015205,             0.43088,             0.41837,             0.34799,             0.21148,            0.042226,            0.016889,            0.013184,            0.008515,            0.008515,            0.008515
                   4,            0.045905,            0.024026,            0.013636,             0.49346,             0.46148,             0.40345,             0.25344,            0.039096,            0.016136,             0.01294,            0.008515,            0.008515,            0.008515
                   5,             0.04392,            0.023374,            0.011781,              0.4938,              0.4636,             0.39383,             0.24786,            0.038139,            0.016701,             0.01227,             0.00802,             0.00802,             0.00802
                   6,            0.042254,            0.022712,            0.010904,              0.5218,             0.44662,             0.41745,             0.25446,            0.039304,            0.016185,            0.014717,            0.007525,            0.007525,            0.007525
                   7,            0.041036,             0.02273,            0.010112,             0.53568,              0.5009,             0.45633,             0.28724,            0.036972,            0.015892,            0.011584,             0.00703,             0.00703,             0.00703
                   8,            0.039226,            0.021757,           0.0087447,             0.57234,             0.49161,              0.4626,             0.30457,            0.034923,            0.015019,            0.010778,            0.006535,            0.006535,            0.006535
                   9,            0.038776,            0.021421,           0.0083364,             0.56455,             0.53636,             0.49132,              0.3229,            0.035402,            0.015132,           0.0096552,             0.00604,             0.00604,             0.00604
                  10,            0.037755,            0.021174,           0.0076229,             0.57089,             0.54322,              0.4995,             0.33009,            0.034435,            0.014877,           0.0092259,            0.005545,            0.005545,            0.005545
                  11,            0.037277,            0.020736,            0.007022,             0.58872,             0.54146,             0.51411,             0.34205,            0.034472,            0.015044,           0.0090192,             0.00505,             0.00505,             0.00505
                  12,            0.036223,            0.020301,           0.0065721,             0.62512,             0.55712,             0.53798,             0.36778,            0.033551,            0.014599,           0.0084806,            0.004555,            0.004555,            0.004555
                  13,            0.035655,            0.019793,           0.0059496,             0.59262,             0.58616,             0.53553,              0.3681,               0.033,            0.014884,           0.0097147,             0.00406,             0.00406,             0.00406
                  14,            0.035238,            0.019549,           0.0055694,             0.59698,             0.60019,             0.54992,             0.37428,            0.033564,            0.014838,           0.0074966,            0.003565,            0.003565,            0.003565
                  15,             0.03416,            0.019498,            0.005125,             0.61154,             0.58735,             0.55353,             0.38353,            0.032601,            0.014525,           0.0082808,             0.00307,             0.00307,             0.00307
                  16,            0.033078,             0.01865,           0.0046838,             0.64243,             0.60434,              0.5732,             0.39913,             0.03213,            0.014389,           0.0076772,            0.002575,            0.002575,            0.002575
                  17,            0.033001,            0.018348,           0.0041881,             0.67041,             0.58432,             0.58256,             0.41234,            0.031598,            0.014391,           0.0077905,             0.00208,             0.00208,             0.00208
                  18,            0.031991,            0.018086,           0.0037021,             0.65673,             0.60797,             0.58737,             0.41243,            0.031806,            0.014312,           0.0071058,            0.001585,            0.001585,            0.001585
                  19,            0.031821,            0.017841,           0.0034607,             0.66979,             0.60992,             0.58925,             0.41661,            0.031537,            0.014238,           0.0077076,             0.00109,             0.00109,             0.00109
